14.01.2016,8232
15.01.2016,8904
16.01.2016,8916
17.01.2016,8779
18.01.2016,9278
19.01.2016,8775
20.01.2016,9280
21.01.2016,9523
22.01.2016,9505
23.01.2016,9183
24.01.2016,8856
25.01.2016,9230
26.01.2016,8993
27.01.2016,8783
28.01.2016,8501
29.01.2016,8252
30.01.2016,8001
31.01.2016,7416
01.02.2016,8290
02.02.2016,7783
03.02.2016,7573
04.02.2016,7808
05.02.2016,8265
06.02.2016,8329
07.02.2016,7599
08.02.2016,8580
09.02.2016,8282
10.02.2016,8344
11.02.2016,8307
12.02.2016,8034
13.02.2016,8331
14.02.2016,7623
15.02.2016,7664
16.02.2016,8242
17.02.2016,8567
18.02.2016,8489
19.02.2016,8566
20.02.2016,8510
21.02.2016,7875
22.02.2016,8169
23.02.2016,8057
24.02.2016,8429
25.02.2016,8410
26.02.2016,8256
27.02.2016,7853
28.02.2016,7214
29.02.2016,8149
01.03.2016,8195
02.03.2016,8269
03.03.2016,8365
04.03.2016,8342
05.03.2016,8001
06.03.2016,7356
07.03.2016,7865
08.03.2016,7579
09.03.2016,7900
10.03.2016,7932
11.03.2016,8054
12.03.2016,8129
13.03.2016,7535
14.03.2016,8240
